frontendId,fileName,catalog,title,titleCN,slug,tags,difficulty,status,similar
LCP 82,LCP_82,lcp,万灵之树,万灵之树,cnHoX6,,Hard,False,
LCP 81,LCP_81,lcp,与非的谜题,与非的谜题,ryfUiz,,Hard,False,
LCP 77,LCP_77,lcp,符文储备,符文储备,W2ZX4X,,Easy,False,
LCP 80,LCP_80,lcp,生物进化录,生物进化录,qoQAMX,,Hard,False,
LCP 79,LCP_79,lcp,提取咒文,提取咒文,kjpLFZ,,Medium,False,
LCP 78,LCP_78,lcp,城墙防线,城墙防线,Nsibyl,,Medium,False,
LCP 73,LCP_73,lcp,探险营地,探险营地,0Zeoeg,,Medium,False,
LCP 74,LCP_74,lcp,最强祝福力场,最强祝福力场,xepqZ5,,Medium,False,
LCP 76,LCP_76,lcp,魔法棋盘,魔法棋盘,1ybDKD,,Hard,False,
LCP 75,LCP_75,lcp,传送卷轴,传送卷轴,rdmXM7,,Hard,False,
LCP 72,LCP_72,lcp,补给马车,补给马车,hqCnmP,,Easy,False,
LCP 71,LCP_71,lcp,集水器,集水器,kskhHQ,"Union Find|union-find|并查集,Array|array|数组,Matrix|matrix|矩阵",Hard,False,
LCP 70,LCP_70,lcp,沙地治理,沙地治理,XxZZjK,"Array|array|数组,Math|math|数学",Hard,False,
LCP 69,LCP_69,lcp,Hello LeetCode!,Hello LeetCode!,rMeRt2,"Bit Manipulation|bit-manipulation|位运算,Array|array|数组,String|string|字符串,Dynamic Programming|dynamic-programming|动态规划,Bitmask|bitmask|状态压缩",Hard,False,
LCP 68,LCP_68,lcp,美观的花束,美观的花束,1GxJYY,"Array|array|数组,Sliding Window|sliding-window|滑动窗口",Medium,False,
LCP 67,LCP_67,lcp,装饰树,装饰树,KnLfVT,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Binary Tree|binary-tree|二叉树",Medium,False,
LCP 63,LCP_63,lcp,弹珠游戏,弹珠游戏,EXvqDp,"Depth-First Search|depth-first-search|深度优先搜索,Breadth-First Search|breadth-first-search|广度优先搜索,Graph|graph|图,Topological Sort|topological-sort|拓扑排序,Memoization|memoization|记忆化搜索,Array|array|数组,Dynamic Programming|dynamic-programming|动态规划,Matrix|matrix|矩阵",Medium,False,
LCP 62,LCP_62,lcp,交通枢纽,交通枢纽,D9PW8w,Graph|graph|图,Medium,False,
LCP 65,LCP_65,lcp,舒适的湿度,舒适的湿度,3aqs1c,"Array|array|数组,Dynamic Programming|dynamic-programming|动态规划",Hard,False,
LCP 66,LCP_66,lcp,最小展台数量,最小展台数量,600YaG,"Array|array|数组,Hash Table|hash-table|哈希表,String|string|字符串,Counting|counting|计数",Easy,False,
LCP 60,LCP_60,lcp,力扣泡泡龙,力扣泡泡龙,WInSav,"Tree|tree|树,Dynamic Programming|dynamic-programming|动态规划,Binary Tree|binary-tree|二叉树",Hard,False,
LCP 64,LCP_64,lcp,二叉树灯饰,二叉树灯饰,U7WvvU,"Tree|tree|树,Depth-First Search|depth-first-search|深度优先搜索,Dynamic Programming|dynamic-programming|动态规划,Binary Tree|binary-tree|二叉树",Medium,False,
LCP 61,LCP_61,lcp,气温变化趋势,气温变化趋势,6CE719,Array|array|数组,Easy,False,
LCP 58,LCP_58,lcp,积木拼接,积木拼接,De4qBB,"Array|array|数组,Backtracking|backtracking|回溯,Matrix|matrix|矩阵",Hard,False,
